old_sha,new_sha,kind,description
c4d2756fccf7b89d5b5c1177692208d546376cd8,fec5695048acbc3ce95d0a658032ec3701b6e045,branch,main
0d06c4762e14b6bde595f0da631d1158a1af8344,c487d3d9c2e34d6a3371699cc0d4696739ddab45,branch,refactor-adlan-1
db13d7a2d2b0c68061e2d878bd1c78d8687e0a85,e5db5690c84d16cc50f7d5d76f4ba02a00e0133f,branch,copymain-10-august
3f5697232ea4bb1cf8c48bf5fdbc96d551537f28,bd8a36e4c8bfba5121132f1d262b354cbb0cf6bb,branch,refactor/package-boundaries raw rewrite tip
3f5697232ea4bb1cf8c48bf5fdbc96d551537f28,bd8a36e4c8bfba5121132f1d262b354cbb0cf6bb,task,Phase-2 tool-authority governing task
a7704a1a3a0fddc929c984b11d232bddd82c9e70,c2c613e112bfda9a46271964989421236a5f0add,task,Phase-1 repository-size-reduction task validation
c09012a1d20a72d3ce3cccaa7bb1ea4d38a82f20,fd7ebd61a3b705ea40a3962a7fcbbe992906797f,historical,historical mapped commit
deaf1430f62c90ce02cd4cefc8b58ab380d2aad8,d80b10c412fb86237ef3d3f74bdffa3a3d814b80,historical,historical mapped commit
b14625ab01fe031cb3a9258b9fc5ff2227b032b3,4255fe9871751b1adcf5ff10d78b19094f00023c,historical,historical mapped commit
ce0fe2df6f06e8fa370f4999734903cadea39638,943fc59bf2386509cd609b85b24e2a3a3218788b,phase-1,Phase-1 implementation
5aef640eb6c124d8fbd95009021f4648d3eb6c69,225cb8dd32b256a9de50e7b3dafe5dc75fc6d5c6,baseline,accepted Phase-1 baseline
d944f72b1a8256e81911514a29ae389fbdfeaf11,0d58219af40d46a65f45f473e78885af80c5f838,task-publication,Phase-2 task publication
