x,y,diameter
118.33,117.6,31.26
278.83,123.5,29.41
588.52,122.74,28.36
741.61,118.41,28.88
896.13,115.11,28.94
1052.22,112.43,29.58
1207.26,109.22,29.4
1364.38,103.62,29.49
1522.04,100.61,30.08
1684.36,100.93,29.86
1843.61,99.16,30.37
2003.0,99.19,30.32
2166.5,99.0,31.38
2327.0,102.0,30.59
2488.08,104.65,30.3
2648.5,107.93,30.72
2809.19,113.44,31.65
2967.88,117.59,30.37
3125.09,122.87,29.81
435.81,125.4,30.42
3281.35,128.07,30.34
3435.33,135.18,29.87
3592.11,140.23,30.1
3747.55,142.3,30.78
3910.37,142.19,32.45
4075.2,138.08,33.86
736.12,271.39,29.09
889.59,267.21,29.76
1044.48,264.7,29.54
1199.33,259.44,30.02
1359.05,255.08,30.53
1518.06,251.42,30.26
1680.0,250.5,30.87
1841.0,249.5,30.87
2001.92,249.59,31.1
2167.3,250.5,30.75
2329.9,252.44,30.64
2492.04,256.25,31.01
2654.14,259.15,30.92
2814.86,263.68,30.61
2972.21,269.37,30.78
120.05,278.89,30.46
278.5,281.0,29.55
432.5,280.5,29.15
584.0,277.76,29.11
3130.53,275.32,30.08
3285.41,282.56,30.23
3439.73,290.35,30.22
3594.36,295.87,30.43
3747.95,300.5,30.71
3908.22,300.38,31.43
4068.2,300.6,32.89
881.89,421.47,29.61
1038.32,418.29,29.84
1193.0,414.0,30.46
1352.53,408.24,30.58
1512.03,405.19,31.45
1676.35,404.65,31.39
1837.0,403.0,31.31
2001.38,403.22,31.43
2167.47,402.57,31.78
2331.63,405.0,31.32
2495.0,408.0,31.62
2657.96,412.62,31.32
2819.45,417.85,31.18
120.82,436.47,29.73
275.68,438.2,29.6
428.83,436.1,28.83
579.0,432.5,29.61
731.29,426.52,29.54
2977.25,425.12,31.08
3136.09,432.18,30.87
3290.21,437.43,30.68
3443.8,446.0,30.32
3597.72,452.5,29.94
3748.58,457.79,30.44
3905.36,459.21,31.93
4064.0,460.5,34.66
1031.33,574.67,30.42
1187.0,571.0,31.31
1346.85,565.02,31.35
1507.14,561.07,31.31
1671.01,560.55,31.32
1834.38,560.38,31.6
2001.28,559.0,31.8
2167.54,559.86,32.02
2332.5,562.0,31.58
2497.44,565.22,31.44
2661.5,569.69,31.7
121.0,595.0,30.59
275.04,595.09,29.88
425.19,592.43,29.84
573.08,588.36,29.36
725.42,582.42,29.3
876.28,577.37,30.01
2824.0,575.16,31.44
2983.87,581.74,31.05
3140.57,588.1,31.1
3295.0,595.0,30.53
3447.5,601.5,30.36
3601.17,609.29,30.4
3752.03,615.03,30.55
3907.23,617.8,30.72
4063.82,619.18,32.13
1341.5,723.0,31.38
1501.5,720.5,31.91
1666.66,720.63,32.04
1832.89,719.5,32.17
1999.72,720.0,31.8
2166.82,721.24,31.83
2334.5,723.54,31.85
118.8,749.77,30.5
270.56,751.32,29.51
421.05,748.68,29.43
568.76,745.71,30.13
719.26,738.39,29.97
869.5,735.0,30.87
1025.11,732.28,30.9
1180.74,728.81,31.41
2499.73,727.14,31.91
2664.82,731.82,31.75
2827.19,736.19,31.82
2987.24,742.36,31.39
3145.45,748.01,31.32
3300.5,754.5,31.02
3452.0,759.0,30.59
3604.38,767.22,30.57
3755.4,772.43,31.17
3907.57,775.09,30.61
4062.48,777.66,32.83
117.56,906.92,30.28
268.25,907.6,29.58
417.57,906.2,29.76
564.3,903.04,30.28
713.5,897.5,30.36
864.5,894.0,30.87
1019.4,893.74,30.89
1174.86,889.55,31.62
1336.35,884.92,31.77
1498.42,882.6,31.66
1664.5,883.0,32.45
1830.47,881.0,32.51
1998.02,881.55,32.7
2167.53,883.19,32.41
2334.9,885.54,32.21
2501.78,888.67,32.01
2667.41,893.76,31.84
2830.84,896.92,31.94
2990.87,902.34,31.8
3149.36,907.64,31.64
3303.87,914.46,31.14
3457.0,920.5,30.81
3607.85,926.69,30.62
3758.39,930.71,30.7
3909.01,932.81,30.98
4062.18,935.93,32.35
116.18,1063.32,30.91
265.06,1063.27,30.05
414.56,1063.64,30.07
560.24,1062.29,30.12
710.79,1057.43,30.68
859.92,1055.18,30.92
1015.88,1055.25,31.08
1171.46,1053.13,31.59
1333.0,1049.45,32.11
1495.29,1048.76,32.38
1661.45,1048.81,32.02
1828.91,1048.9,32.41
1996.83,1049.15,32.35
2166.57,1050.88,32.48
2335.46,1052.85,32.45
2502.47,1055.24,32.38
2668.74,1058.46,32.27
2832.5,1062.5,31.91
2993.75,1065.32,31.67
3150.25,1070.38,31.43
3305.15,1075.8,31.35
3459.38,1080.29,31.43
3609.89,1085.11,30.77
3759.38,1089.83,30.47
3910.26,1093.52,31.15
4062.18,1093.91,32.03
115.03,1223.0,30.58
266.0,1223.08,29.88
411.5,1222.93,30.28
557.5,1222.0,30.81
707.45,1219.0,30.83
857.1,1217.51,31.26
1012.48,1218.7,31.4
1167.5,1217.5,31.78
1328.94,1215.34,32.3
1491.85,1214.42,32.48
1658.91,1214.83,32.26
1827.49,1215.91,32.58
1995.37,1216.95,32.79
2166.16,1218.75,32.79
2335.02,1219.5,32.73
2503.0,1222.0,32.56
2669.38,1224.38,32.58
2834.19,1227.89,32.25
2995.0,1232.0,32.31
3152.21,1234.0,31.49
3307.22,1238.38,31.43
3459.84,1240.57,31.39
3610.22,1244.73,31.03
3760.5,1247.7,30.75
3910.24,1252.24,31.1
4063.41,1254.59,31.56
113.89,1379.28,30.9
263.0,1379.5,29.68
410.57,1381.17,30.5
556.0,1382.85,30.3
705.0,1380.12,30.82
854.5,1380.64,31.13
1010.0,1382.5,31.58
1165.8,1383.47,31.6
1327.82,1381.89,32.25
1490.06,1382.77,32.51
1657.78,1383.2,32.71
1824.43,1387.57,32.46
1994.23,1389.4,32.9
2164.38,1390.02,32.67
2334.06,1391.73,32.77
2502.37,1394.05,32.8
2669.06,1395.08,32.39
2833.53,1397.94,32.27
2994.3,1399.02,32.14
3152.0,1401.5,32.02
3307.11,1403.58,31.45
3459.5,1406.5,31.15
3610.5,1407.7,30.75
3759.0,1410.27,31.12
3908.19,1411.4,30.89
4062.93,1414.7,31.7
115.09,1536.48,29.62
263.53,1537.17,29.75
409.87,1540.63,29.91
555.5,1542.39,30.16
704.65,1541.96,30.81
854.5,1543.5,31.15
1008.8,1547.9,31.31
1163.97,1549.39,31.8
1326.46,1549.38,32.03
1489.24,1550.92,32.35
1655.5,1554.83,32.47
1823.5,1557.0,32.76
1993.1,1556.71,68.45
2163.17,1558.17,33.55
