"(118.3, 117.6)","(278.8, 123.5)","(435.8, 125.4)","(588.5, 122.7)","(741.6, 118.4)","(896.1, 115.1)","(1052.2, 112.4)","(1207.3, 109.2)","(1364.4, 103.6)","(1522.0, 100.6)","(1684.4, 100.9)","(1843.6, 99.2)","(2003.0, 99.2)","(2166.5, 99.0)","(2327.0, 102.0)","(2488.1, 104.6)","(2648.5, 107.9)","(2809.2, 113.4)","(2967.9, 117.6)","(3125.1, 122.9)","(3281.3, 128.1)","(3435.3, 135.2)","(3592.1, 140.2)","(3747.6, 142.3)","(3910.4, 142.2)","(4075.2, 138.1)"
"(120.0, 278.9)","(278.5, 281.0)","(432.5, 280.5)","(584.0, 277.8)","(736.1, 271.4)","(889.6, 267.2)","(1044.5, 264.7)","(1199.3, 259.4)","(1359.0, 255.1)","(1518.1, 251.4)","(1680.0, 250.5)","(1841.0, 249.5)","(2001.9, 249.6)","(2167.3, 250.5)","(2329.9, 252.4)","(2492.0, 256.3)","(2654.1, 259.2)","(2814.9, 263.7)","(2972.2, 269.4)","(3130.5, 275.3)","(3285.4, 282.6)","(3439.7, 290.3)","(3594.4, 295.9)","(3747.9, 300.5)","(3908.2, 300.4)","(4068.2, 300.6)"
"(120.8, 436.5)","(275.7, 438.2)","(428.8, 436.1)","(579.0, 432.5)","(731.3, 426.5)","(881.9, 421.5)","(1038.3, 418.3)","(1193.0, 414.0)","(1352.5, 408.2)","(1512.0, 405.2)","(1676.4, 404.6)","(1837.0, 403.0)","(2001.4, 403.2)","(2167.5, 402.6)","(2331.6, 405.0)","(2495.0, 408.0)","(2658.0, 412.6)","(2819.5, 417.9)","(2977.2, 425.1)","(3136.1, 432.2)","(3290.2, 437.4)","(3443.8, 446.0)","(3597.7, 452.5)","(3748.6, 457.8)","(3905.4, 459.2)","(4064.0, 460.5)"
"(121.0, 595.0)","(275.0, 595.1)","(425.2, 592.4)","(573.1, 588.4)","(725.4, 582.4)","(876.3, 577.4)","(1031.3, 574.7)","(1187.0, 571.0)","(1346.8, 565.0)","(1507.1, 561.1)","(1671.0, 560.5)","(1834.4, 560.4)","(2001.3, 559.0)","(2167.5, 559.9)","(2332.5, 562.0)","(2497.4, 565.2)","(2661.5, 569.7)","(2824.0, 575.2)","(2983.9, 581.7)","(3140.6, 588.1)","(3295.0, 595.0)","(3447.5, 601.5)","(3601.2, 609.3)","(3752.0, 615.0)","(3907.2, 617.8)","(4063.8, 619.2)"
"(118.8, 749.8)","(270.6, 751.3)","(421.0, 748.7)","(568.8, 745.7)","(719.3, 738.4)","(869.5, 735.0)","(1025.1, 732.3)","(1180.7, 728.8)","(1341.5, 723.0)","(1501.5, 720.5)","(1666.7, 720.6)","(1832.9, 719.5)","(1999.7, 720.0)","(2166.8, 721.2)","(2334.5, 723.5)","(2499.7, 727.1)","(2664.8, 731.8)","(2827.2, 736.2)","(2987.2, 742.4)","(3145.5, 748.0)","(3300.5, 754.5)","(3452.0, 759.0)","(3604.4, 767.2)","(3755.4, 772.4)","(3907.6, 775.1)","(4062.5, 777.7)"
"(117.6, 906.9)","(268.3, 907.6)","(417.6, 906.2)","(564.3, 903.0)","(713.5, 897.5)","(864.5, 894.0)","(1019.4, 893.7)","(1174.9, 889.6)","(1336.4, 884.9)","(1498.4, 882.6)","(1664.5, 883.0)","(1830.5, 881.0)","(1998.0, 881.5)","(2167.5, 883.2)","(2334.9, 885.5)","(2501.8, 888.7)","(2667.4, 893.8)","(2830.8, 896.9)","(2990.9, 902.3)","(3149.4, 907.6)","(3303.9, 914.5)","(3457.0, 920.5)","(3607.8, 926.7)","(3758.4, 930.7)","(3909.0, 932.8)","(4062.2, 935.9)"
"(116.2, 1063.3)","(265.1, 1063.3)","(414.6, 1063.6)","(560.2, 1062.3)","(710.8, 1057.4)","(859.9, 1055.2)","(1015.9, 1055.2)","(1171.5, 1053.1)","(1333.0, 1049.4)","(1495.3, 1048.8)","(1661.4, 1048.8)","(1828.9, 1048.9)","(1996.8, 1049.2)","(2166.6, 1050.9)","(2335.5, 1052.8)","(2502.5, 1055.2)","(2668.7, 1058.5)","(2832.5, 1062.5)","(2993.8, 1065.3)","(3150.2, 1070.4)","(3305.2, 1075.8)","(3459.4, 1080.3)","(3609.9, 1085.1)","(3759.4, 1089.8)","(3910.3, 1093.5)","(4062.2, 1093.9)"
"(115.0, 1223.0)","(266.0, 1223.1)","(411.5, 1222.9)","(557.5, 1222.0)","(707.5, 1219.0)","(857.1, 1217.5)","(1012.5, 1218.7)","(1167.5, 1217.5)","(1328.9, 1215.3)","(1491.8, 1214.4)","(1658.9, 1214.8)","(1827.5, 1215.9)","(1995.4, 1217.0)","(2166.2, 1218.7)","(2335.0, 1219.5)","(2503.0, 1222.0)","(2669.4, 1224.4)","(2834.2, 1227.9)","(2995.0, 1232.0)","(3152.2, 1234.0)","(3307.2, 1238.4)","(3459.8, 1240.6)","(3610.2, 1244.7)","(3760.5, 1247.7)","(3910.2, 1252.2)","(4063.4, 1254.6)"
"(113.9, 1379.3)","(263.0, 1379.5)","(410.6, 1381.2)","(556.0, 1382.8)","(705.0, 1380.1)","(854.5, 1380.6)","(1010.0, 1382.5)","(1165.8, 1383.5)","(1327.8, 1381.9)","(1490.1, 1382.8)","(1657.8, 1383.2)","(1824.4, 1387.6)","(1994.2, 1389.4)","(2164.4, 1390.0)","(2334.1, 1391.7)","(2502.4, 1394.1)","(2669.1, 1395.1)","(2833.5, 1397.9)","(2994.3, 1399.0)","(3152.0, 1401.5)","(3307.1, 1403.6)","(3459.5, 1406.5)","(3610.5, 1407.7)","(3759.0, 1410.3)","(3908.2, 1411.4)","(4062.9, 1414.7)"
"(115.1, 1536.5)","(263.5, 1537.2)","(409.9, 1540.6)","(555.5, 1542.4)","(704.7, 1542.0)","(854.5, 1543.5)","(1008.8, 1547.9)","(1164.0, 1549.4)","(1326.5, 1549.4)","(1489.2, 1550.9)","(1655.5, 1554.8)","(1823.5, 1557.0)","(1993.1, 1556.7)","(2163.2, 1558.2)","(2332.8, 1559.7)","(2500.8, 1560.8)","(2668.4, 1562.0)","(2832.4, 1563.2)","(2992.9, 1564.1)","(3150.9, 1565.0)","(3307.0, 1566.0)","(3458.5, 1567.3)","(3608.5, 1567.7)","(3758.0, 1569.0)","(3907.9, 1570.3)","(4060.3, 1571.1)"
"(115.9, 1695.7)","(263.7, 1694.7)","(410.0, 1697.8)","(556.5, 1700.5)","(705.1, 1703.5)","(854.8, 1709.0)","(1009.0, 1712.0)","(1166.6, 1713.3)","(1326.5, 1716.3)","(1489.4, 1721.1)","(1655.1, 1723.1)","(1822.7, 1723.5)","(1991.4, 1725.6)","(2163.2, 1729.2)","(2332.4, 1730.0)","(2500.8, 1731.5)","(2666.4, 1732.1)","(2831.9, 1732.5)","(2992.9, 1731.6)","(3150.7, 1731.5)","(3305.4, 1732.3)","(3459.2, 1731.1)","(3608.2, 1731.4)","(3756.2, 1730.2)","(3907.1, 1730.7)","(4059.9, 1730.8)"
"(116.8, 1850.5)","(267.5, 1854.2)","(411.7, 1855.4)","(557.9, 1861.1)","(706.0, 1867.0)","(855.7, 1870.5)","(1011.0, 1873.6)","(1167.1, 1878.2)","(1327.9, 1884.6)","(1489.6, 1888.2)","(1657.6, 1890.8)","(1823.8, 1892.3)","(1991.5, 1894.4)","(2161.1, 1896.8)","(2330.8, 1897.8)","(2498.6, 1899.6)","(2663.5, 1899.3)","(2828.7, 1897.4)","(2990.5, 1896.5)","(3147.9, 1896.5)","(3302.0, 1894.5)","(3456.7, 1893.6)","(3606.2, 1891.5)","(3753.8, 1889.5)","(3905.3, 1888.7)","(4058.8, 1888.5)"
"(118.4, 2007.4)","(269.4, 2010.0)","(413.5, 2013.3)","(559.3, 2019.0)","(709.6, 2026.7)","(859.2, 2032.2)","(1013.4, 2036.4)","(1168.7, 2042.2)","(1329.0, 2049.0)","(1490.5, 2053.5)","(1658.1, 2056.2)","(1822.9, 2059.2)","(1989.6, 2061.9)","(2160.7, 2063.3)","(2327.5, 2064.0)","(2495.4, 2065.6)","(2660.3, 2065.3)","(2825.5, 2062.7)","(2985.2, 2060.2)","(3144.1, 2059.2)","(3298.0, 2057.0)","(3453.0, 2054.5)","(3602.4, 2052.1)","(3751.8, 2049.0)","(3903.3, 2048.6)","(4056.9, 2048.4)"
"(119.9, 2161.8)","(270.6, 2166.4)","(416.9, 2169.5)","(562.0, 2176.8)","(711.8, 2184.6)","(861.7, 2191.1)","(1016.9, 2197.2)","(1171.1, 2203.2)","(1330.8, 2211.4)","(1492.5, 2216.5)","(1659.1, 2219.6)","(1823.4, 2223.0)","(1990.0, 2225.6)","(2158.9, 2228.0)","(2324.9, 2228.8)","(2492.0, 2229.7)","(2656.2, 2228.2)","(2820.7, 2225.2)","(2980.1, 2222.3)","(3137.9, 2220.9)","(3293.2, 2216.8)","(3446.5, 2214.0)","(3597.6, 2210.3)","(3748.8, 2206.9)","(3900.0, 2206.1)","(4056.1, 2205.4)"
