"(8.89, 229.87)","(173.17, 236.52)","(332.97, 239.34)","(488.25, 237.48)","(645.17, 235.29)","(802.97, 234.96)","(961.39, 236.57)","(1118.52, 236.94)","(1275.15, 234.26)","(1431.58, 234.31)","(1591.83, 236.59)","(1748.45, 235.94)","(1904.27, 235.72)","(2064.68, 233.66)","(2221.70, 234.24)","(2379.45, 234.28)","(2536.67, 234.51)","(2696.30, 236.19)","(2854.70, 235.79)","(3012.25, 235.75)","(3168.65, 234.87)","(3323.11, 237.07)","(3480.03, 237.66)","(3634.51, 238.31)","(3796.10, 236.60)","(3959.76, 230.79)"
"(12.36, 390.10)","(175.52, 394.66)","(333.27, 396.07)","(488.36, 394.99)","(644.86, 391.04)","(802.08, 390.43)","(959.44, 392.71)","(1115.39, 391.44)","(1273.25, 391.01)","(1430.61, 390.43)","(1588.91, 391.96)","(1746.00, 391.42)","(1902.99, 391.52)","(2063.54, 390.85)","(2222.51, 390.37)","(2380.90, 391.72)","(2539.46, 391.12)","(2697.42, 391.19)","(2853.92, 391.35)","(3012.30, 391.01)","(3167.40, 392.10)","(3324.44, 394.89)","(3481.21, 395.41)","(3636.79, 396.63)","(3796.43, 394.03)","(3955.86, 391.30)"
"(13.70, 547.28)","(174.33, 550.71)","(332.17, 550.99)","(487.98, 551.39)","(645.25, 548.21)","(800.28, 546.68)","(959.62, 548.15)","(1115.71, 547.91)","(1273.72, 546.48)","(1430.41, 547.58)","(1589.65, 549.25)","(1745.01, 548.69)","(1903.73, 548.72)","(2063.61, 547.21)","(2222.19, 547.84)","(2380.77, 546.69)","(2539.15, 546.98)","(2696.47, 547.12)","(2852.75, 548.19)","(3011.81, 548.55)","(3167.33, 547.61)","(3324.66, 550.82)","(3483.10, 551.38)","(3637.11, 552.54)","(3795.49, 550.43)","(3954.42, 548.91)"
"(15.16, 705.50)","(175.63, 707.07)","(332.78, 706.97)","(487.09, 706.62)","(645.23, 704.95)","(801.47, 704.19)","(959.53, 705.69)","(1116.56, 705.81)","(1275.41, 703.84)","(1431.71, 703.33)","(1589.13, 705.24)","(1746.28, 706.49)","(1905.21, 704.75)","(2063.59, 703.39)","(2221.48, 702.88)","(2379.33, 703.43)","(2537.66, 703.53)","(2695.24, 704.06)","(2853.87, 704.47)","(3010.25, 703.83)","(3167.61, 703.74)","(3324.83, 703.81)","(3483.44, 705.82)","(3638.87, 707.08)","(3797.35, 706.11)","(3956.52, 705.19)"
"(14.36, 859.76)","(173.35, 862.38)","(331.55, 862.68)","(487.32, 862.59)","(644.77, 858.79)","(800.43, 859.60)","(959.80, 861.36)","(1117.00, 862.81)","(1276.21, 861.08)","(1432.45, 861.24)","(1590.15, 863.31)","(1746.80, 862.65)","(1904.72, 861.88)","(2062.94, 861.79)","(2222.38, 861.41)","(2380.17, 861.53)","(2537.93, 862.63)","(2693.95, 862.49)","(2851.74, 862.89)","(3010.32, 860.84)","(3169.71, 860.54)","(3325.80, 858.61)","(3483.16, 861.40)","(3639.44, 862.00)","(3797.51, 861.08)","(3956.45, 860.58)"
"(13.44, 1016.27)","(173.49, 1017.94)","(331.28, 1019.01)","(486.29, 1018.43)","(643.99, 1015.56)","(801.50, 1015.84)","(960.63, 1019.10)","(1116.87, 1019.09)","(1275.41, 1018.04)","(1432.46, 1018.24)","(1590.87, 1019.50)","(1746.90, 1017.74)","(1904.50, 1017.83)","(2064.86, 1017.70)","(2223.15, 1017.79)","(2381.29, 1017.65)","(2538.95, 1018.81)","(2695.54, 1017.90)","(2852.75, 1017.86)","(3011.32, 1016.65)","(3169.71, 1017.96)","(3327.31, 1017.38)","(3483.05, 1018.55)","(3640.24, 1018.28)","(3797.53, 1016.57)","(3957.15, 1016.29)"
"(13.12, 1172.32)","(171.83, 1173.56)","(331.92, 1174.93)","(486.55, 1175.65)","(645.73, 1173.26)","(802.18, 1173.44)","(961.36, 1175.53)","(1117.78, 1175.48)","(1276.57, 1174.42)","(1432.05, 1175.15)","(1589.88, 1175.22)","(1747.28, 1174.53)","(1904.80, 1174.10)","(2063.99, 1174.43)","(2223.37, 1174.48)","(2380.96, 1175.01)","(2538.53, 1175.78)","(2696.61, 1176.29)","(2854.68, 1175.47)","(3010.94, 1175.06)","(3169.01, 1175.23)","(3326.92, 1174.36)","(3482.56, 1174.86)","(3638.92, 1175.40)","(3797.43, 1175.22)","(3956.64, 1172.30)"
"(13.62, 1332.22)","(175.51, 1332.79)","(331.30, 1332.60)","(486.22, 1332.58)","(644.59, 1331.14)","(801.96, 1331.02)","(961.08, 1332.43)","(1117.10, 1332.05)","(1276.18, 1330.89)","(1430.83, 1330.37)","(1588.71, 1329.89)","(1747.42, 1329.82)","(1904.41, 1329.70)","(2064.12, 1330.12)","(2222.31, 1329.45)","(2380.81, 1330.04)","(2538.44, 1330.47)","(2697.06, 1331.18)","(2855.18, 1332.38)","(3011.10, 1331.33)","(3168.79, 1331.43)","(3325.34, 1329.47)","(3481.85, 1331.63)","(3639.41, 1331.63)","(3797.14, 1332.42)","(3957.54, 1331.45)"
"(11.83, 1488.62)","(172.45, 1487.62)","(330.94, 1488.46)","(486.34, 1489.43)","(644.13, 1487.37)","(801.13, 1487.54)","(961.01, 1488.39)","(1117.33, 1489.51)","(1276.30, 1487.38)","(1430.81, 1486.97)","(1589.18, 1486.36)","(1745.72, 1488.81)","(1904.10, 1489.60)","(2063.24, 1488.99)","(2221.99, 1489.37)","(2380.11, 1489.93)","(2538.33, 1489.17)","(2695.84, 1490.89)","(2853.88, 1489.41)","(3010.14, 1489.51)","(3166.97, 1488.59)","(3324.77, 1488.81)","(3482.40, 1488.48)","(3638.50, 1489.96)","(3796.02, 1488.97)","(3958.69, 1489.51)"
"(11.91, 1645.23)","(172.05, 1644.10)","(330.07, 1645.56)","(487.11, 1645.48)","(645.35, 1643.91)","(801.88, 1643.72)","(960.70, 1644.85)","(1116.61, 1645.22)","(1275.11, 1644.73)","(1430.20, 1644.29)","(1587.88, 1645.63)","(1745.90, 1645.82)","(1904.19, 1644.59)","(2063.01, 1644.99)","(2221.85, 1645.06)","(2379.21, 1644.78)","(2538.32, 1644.69)","(2695.39, 1645.34)","(2851.94, 1644.70)","(3009.63, 1644.22)","(3167.69, 1643.82)","(3324.31, 1643.69)","(3481.47, 1642.90)","(3638.66, 1643.21)","(3796.85, 1644.30)","(3958.25, 1645.27)"
"(11.86, 1804.00)","(171.47, 1800.43)","(329.47, 1801.20)","(487.31, 1801.03)","(646.02, 1800.55)","(801.83, 1802.50)","(960.69, 1801.57)","(1118.84, 1799.64)","(1274.82, 1800.73)","(1430.63, 1803.53)","(1587.19, 1802.89)","(1745.77, 1800.58)","(1904.38, 1800.64)","(2064.23, 1803.37)","(2222.58, 1802.88)","(2380.46, 1803.02)","(2537.93, 1803.43)","(2696.36, 1803.88)","(2852.89, 1802.96)","(3011.14, 1802.30)","(3168.58, 1802.32)","(3326.66, 1801.25)","(3482.77, 1801.95)","(3638.78, 1800.98)","(3797.96, 1802.52)","(3958.13, 1803.15)"
