logical_id,anatomy,status,reason,reference_shape,candidate_shape,reference_dtype,candidate_dtype,reference_intensity,candidate_intensity,geometry_reconciliation,valid_overlap_fraction,alignment_sanity_pearson_16px,edge_recall,gradient_energy_retention,informative_tile_count,lost_informative_tile_fraction,low_percentile_tile_retention,informative_extreme_fraction
I-1-1,Kepala,COMPARABLE,,"[3000, 4096]","[3028, 4136]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 345.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60896.0}","candidate crop rows [14:3014], cols [20:4116]; no resize/interpolation/warp",1.0,0.9687689972438184,0.2223402748431567,0.1807683485281408,665,0.837593984962406,0.0,0.14786485405331504
I-1-1,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3028, 4136]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 46175.0, 'p99': 65535.0}","{'min': 0, 'max': 65145, 'p01': 0.0, 'median': 35651.0, 'p99': 62656.0}","candidate crop rows [14:3014], cols [20:4116]; no resize/interpolation/warp",1.0,0.9503962968064412,0.578698730174989,0.33215490489278865,821,0.8574908647990256,0.0,0.036505949756309074
I-1-2,Kepala,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 506.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60884.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9702859637872,0.19486418569649624,0.16207697128088394,615,0.8764227642276423,0.0,0.16477837162740522
I-1-2,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 42116.0, 'p99': 65535.0}","{'min': 0, 'max': 64826, 'p01': 0.0, 'median': 31210.0, 'p99': 62965.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9525677064637142,0.5276089883405803,0.3346545476260561,562,0.9039145907473309,0.0,0.04312478287426429
I-1-3,Kepala,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-1-3,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 30948.0, 'p99': 65535.0}","{'min': 0, 'max': 65055, 'p01': 0.0, 'median': 19772.0, 'p99': 62477.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9623296507782769,0.46289206239147757,0.3062242474855689,731,0.8864569083447332,0.0,0.03211041236630815
I-1-4,Kepala,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 101.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60840.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9711256944639993,0.20722846802189762,0.18706701339656584,815,0.7840490797546013,0.0,0.15564365036660552
I-1-4,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 48056.0, 'p99': 65535.0}","{'min': 0, 'max': 65055, 'p01': 0.0, 'median': 35755.0, 'p99': 62526.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9543108695258675,0.5520124825448156,0.376598919725117,390,0.8307692307692308,0.0,0.04719528182596994
I-1-5,Kepala,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-1-5,Tulang Belakang,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-1-6,Kepala,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-1-6,Tulang Belakang,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-2-1,Kepala,COMPARABLE,,"[3000, 4096]","[3028, 4136]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 1049.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60845.0}","candidate crop rows [14:3014], cols [20:4116]; no resize/interpolation/warp",1.0,0.9712871696239722,0.16157730695852157,0.12224373710129194,587,0.7836456558773425,0.0,0.1872801344802288
I-2-1,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3028, 4136]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 40957.0, 'p99': 65535.0}","{'min': 0, 'max': 65145, 'p01': 0.0, 'median': 33496.0, 'p99': 62925.0}","candidate crop rows [14:3014], cols [20:4116]; no resize/interpolation/warp",1.0,0.9480538941481339,0.5831122996090159,0.3180557405233361,924,0.8712121212121212,0.0,0.048543934767911544
I-2-2,Kepala,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 820.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 61024.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.971216497533772,0.18423058773049678,0.13197387528370083,470,0.8404255319148937,0.0,0.18363423924121913
I-2-2,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 35520.0, 'p99': 65535.0}","{'min': 0, 'max': 64765, 'p01': 0.0, 'median': 28016.5, 'p99': 63222.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9635203183910677,0.5241657643672051,0.28351630538522726,586,0.89419795221843,0.0,0.05082578676687051
I-2-3,Kepala,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 1082.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60964.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.967355647131383,0.17146338309661577,0.1289599672878792,487,0.8028747433264887,0.0,0.1927319832584613
I-2-3,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 32099.0, 'p99': 65535.0}","{'min': 0, 'max': 64800, 'p01': 0.0, 'median': 17317.0, 'p99': 62435.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9644372418024737,0.4384799697944562,0.30986010605376674,648,0.8132716049382716,0.0,0.04583168935344385
I-2-4,Kepala,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 496.0, 'p99': 65535.0}","{'min': 0, 'max': 64741, 'p01': 0.0, 'median': 0.0, 'p99': 60855.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9677403746293861,0.1789248962258466,0.15294510647816353,677,0.8641063515509602,0.0,0.16925769692916331
I-2-4,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 43607.0, 'p99': 65535.0}","{'min': 0, 'max': 64806, 'p01': 0.0, 'median': 29976.0, 'p99': 62467.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9591878446469909,0.5007690806876807,0.36705047990185763,424,0.8183962264150944,0.0,0.05280038985647494
I-2-5,Kepala,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-2-5,Tulang Belakang,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-2-6,Kepala,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-2-6,Tulang Belakang,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-3-1,Kepala,COMPARABLE,,"[3000, 4096]","[3028, 4136]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 1636.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60788.0}","candidate crop rows [14:3014], cols [20:4116]; no resize/interpolation/warp",1.0,0.9701865962405893,0.16784226087513282,0.11719882332186084,500,0.824,0.0,0.21419849362735566
