"(123.43, 123.27)","(282.27, 126.27)","(437.61, 126.58)","(590.97, 124.80)","(743.63, 121.51)","(896.53, 117.25)","(1050.39, 112.50)","(1205.62, 107.71)","(1362.45, 103.27)","(1520.89, 99.52)","(1680.77, 96.71)","(1841.81, 95.04)","(2003.62, 94.66)","(2165.76, 95.61)","(2327.76, 97.90)","(2489.20, 101.43)","(2649.70, 106.05)","(2809.01, 111.53)","(2967.04, 117.57)","(3123.85, 123.82)","(3279.76, 129.85)","(3435.35, 135.17)","(3591.46, 139.24)","(3749.28, 141.47)","(3910.32, 141.24)","(4076.43, 137.89)"
"(125.63, 282.08)","(281.64, 283.11)","(434.74, 281.86)","(586.43, 278.89)","(737.95, 274.70)","(890.23, 269.80)","(1043.89, 264.61)","(1199.35, 259.55)","(1356.74, 254.96)","(1516.03, 251.14)","(1677.00, 248.33)","(1839.28, 246.70)","(2002.42, 246.39)","(2165.92, 247.45)","(2329.23, 249.85)","(2491.86, 253.54)","(2653.38, 258.36)","(2813.46, 264.12)","(2971.93, 270.54)","(3128.80, 277.31)","(3284.34, 284.04)","(3439.05, 290.29)","(3593.74, 295.58)","(3749.55, 299.38)","(3907.94, 301.13)","(4070.75, 300.23)"
"(125.85, 439.31)","(279.46, 438.99)","(430.69, 436.78)","(581.03, 433.16)","(731.67, 428.58)","(883.51, 423.50)","(1037.15, 418.28)","(1192.93, 413.29)","(1350.97, 408.85)","(1511.16, 405.20)","(1673.22, 402.57)","(1836.74, 401.11)","(2001.21, 400.92)","(2166.05, 402.07)","(2330.68, 404.52)","(2494.52, 408.22)","(2657.08, 413.05)","(2817.98, 418.83)","(2976.99, 425.31)","(3134.06, 432.21)","(3289.41, 439.20)","(3443.48, 445.89)","(3597.05, 451.86)","(3751.21, 456.64)","(3907.39, 459.73)","(4067.39, 460.61)"
"(124.71, 595.74)","(276.32, 594.63)","(426.01, 591.98)","(575.27, 588.20)","(725.25, 583.70)","(876.81, 578.83)","(1030.52, 573.95)","(1186.69, 569.36)","(1345.39, 565.32)","(1506.46, 562.06)","(1669.58, 559.77)","(1834.29, 558.57)","(2000.01, 558.57)","(2166.14, 559.79)","(2332.00, 562.23)","(2497.00, 565.83)","(2660.58, 570.49)","(2822.30, 576.05)","(2981.88, 582.30)","(3139.23, 589.00)","(3294.52, 595.87)","(3448.15, 602.56)","(3600.85, 608.72)","(3753.67, 613.95)","(3908.03, 617.81)","(4065.69, 619.87)"
"(122.75, 751.91)","(272.73, 750.51)","(421.20, 747.88)","(569.60, 744.37)","(719.08, 740.32)","(870.48, 736.04)","(1024.32, 731.81)","(1180.90, 727.88)","(1340.22, 724.48)","(1502.11, 721.80)","(1666.20, 719.98)","(1831.98, 719.14)","(1998.85, 719.35)","(2166.12, 720.65)","(2333.11, 723.02)","(2499.16, 726.42)","(2663.67, 730.75)","(2826.16, 735.89)","(2986.30, 741.67)","(3143.97, 747.88)","(3299.27, 754.28)","(3452.60, 760.60)","(3604.64, 766.54)","(3756.41, 771.76)","(3909.30, 775.90)","(4065.05, 778.61)"
"(120.45, 908.17)","(269.15, 906.89)","(416.65, 904.66)","(564.40, 901.79)","(713.52, 898.53)","(864.83, 895.12)","(1018.83, 891.80)","(1175.78, 888.77)","(1335.66, 886.21)","(1498.26, 884.25)","(1663.19, 883.03)","(1829.89, 882.62)","(1997.72, 883.08)","(2165.98, 884.45)","(2333.93, 886.70)","(2500.88, 889.81)","(2666.20, 893.69)","(2829.35, 898.25)","(2990.00, 903.34)","(3147.97, 908.81)","(3303.34, 914.47)","(3456.47, 920.10)","(3608.02, 925.46)","(3758.98, 930.28)","(3910.73, 934.30)","(4064.98, 937.23)"
"(118.19, 1064.69)","(265.92, 1063.85)","(412.71, 1062.35)","(559.99, 1060.39)","(708.87, 1058.18)","(860.13, 1055.89)","(1014.28, 1053.70)","(1171.53, 1051.75)","(1331.86, 1050.16)","(1495.04, 1049.06)","(1660.62, 1048.51)","(1828.05, 1048.60)","(1996.66, 1049.34)","(2165.69, 1050.77)","(2334.41, 1052.87)","(2502.07, 1055.61)","(2668.02, 1058.94)","(2831.71, 1062.78)","(2992.77, 1067.03)","(3150.99, 1071.56)","(3306.44, 1076.25)","(3459.45, 1080.94)","(3610.65, 1085.44)","(3761.03, 1089.57)","(3911.93, 1093.14)","(4065.07, 1095.93)"
"(116.27, 1221.51)","(263.34, 1221.36)","(409.65, 1220.80)","(556.61, 1219.97)","(705.32, 1219.00)","(856.57, 1218.01)","(1010.82, 1217.09)","(1168.30, 1216.35)","(1328.96, 1215.86)","(1492.53, 1215.69)","(1658.58, 1215.90)","(1826.52, 1216.51)","(1995.66, 1217.56)","(2165.24, 1219.04)","(2334.48, 1220.96)","(2502.64, 1223.29)","(2669.04, 1225.98)","(2833.11, 1229.00)","(2994.46, 1232.28)","(3152.87, 1235.74)","(3308.38, 1239.30)","(3461.31, 1242.85)","(3612.29, 1246.30)","(3762.28, 1249.52)","(3912.61, 1252.40)","(4064.99, 1254.80)"
"(114.90, 1378.56)","(261.61, 1379.25)","(407.65, 1379.78)","(554.43, 1380.22)","(703.05, 1380.61)","(854.29, 1381.01)","(1008.60, 1381.47)","(1166.20, 1382.02)","(1327.02, 1382.69)","(1490.81, 1383.52)","(1657.11, 1384.51)","(1825.32, 1385.68)","(1994.74, 1387.03)","(2164.61, 1388.57)","(2334.13, 1390.29)","(2502.55, 1392.16)","(2669.19, 1394.18)","(2833.46, 1396.32)","(2994.96, 1398.55)","(3153.46, 1400.84)","(3309.01, 1403.16)","(3461.90, 1405.47)","(3612.75, 1407.73)","(3762.53, 1409.90)","(3912.56, 1411.94)","(4064.54, 1413.81)"
"(114.20, 1535.69)","(260.83, 1537.30)","(406.80, 1538.98)","(553.55, 1540.73)","(702.14, 1542.53)","(853.36, 1544.38)","(1007.67, 1546.24)","(1165.27, 1548.12)","(1326.11, 1549.98)","(1489.92, 1551.81)","(1656.23, 1553.60)","(1824.47, 1555.34)","(1993.91, 1557.00)","(2163.80, 1558.59)","(2333.34, 1560.09)","(2501.78, 1561.50)","(2668.43, 1562.82)","(2832.71, 1564.05)","(2994.21, 1565.20)","(3152.72, 1566.29)","(3308.25, 1567.33)","(3461.13, 1568.35)","(3611.96, 1569.38)","(3761.70, 1570.44)","(3911.68, 1571.58)","(4063.60, 1572.85)"
"(114.19, 1692.76)","(261.02, 1695.24)","(407.14, 1698.05)","(553.97, 1701.09)","(702.60, 1704.29)","(853.80, 1707.55)","(1008.04, 1710.80)","(1165.54, 1713.98)","(1326.23, 1717.01)","(1489.85, 1719.84)","(1655.96, 1722.42)","(1823.97, 1724.70)","(1993.17, 1726.67)","(2162.81, 1728.30)","(2332.12, 1729.58)","(2500.33, 1730.53)","(2666.77, 1731.15)","(2830.87, 1731.48)","(2992.22, 1731.57)","(3150.63, 1731.48)","(3306.11, 1731.26)","(3458.99, 1731.02)","(3609.89, 1730.83)","(3759.76, 1730.82)","(3909.95, 1731.10)","(4062.15, 1731.81)"
