"(-32.03, 9.65)","(137.47, 13.34)","(307.39, 15.77)","(474.98, 15.48)","(643.97, 15.11)","(814.49, 16.99)","(985.95, 20.14)","(1154.94, 22.70)","(1324.44, 22.17)","(1493.01, 23.78)","(1665.35, 28.12)","(1833.18, 28.81)","(2000.60, 30.01)","(2172.18, 29.48)","(2340.92, 31.09)","(2511.09, 30.83)","(2681.72, 30.14)","(2854.10, 30.90)","(3026.00, 29.58)","(3197.75, 29.29)","(3369.56, 29.16)","(3539.39, 31.99)","(3711.95, 33.79)","(3881.46, 34.44)","(4055.58, 35.35)","(4226.61, 35.29)"
"(-33.28, 181.54)","(137.21, 183.44)","(306.32, 185.08)","(474.43, 186.21)","(643.51, 184.62)","(813.61, 186.30)","(983.97, 190.21)","(1152.32, 190.78)","(1324.04, 192.06)","(1493.25, 193.05)","(1663.86, 196.05)","(1832.29, 197.57)","(1999.90, 198.88)","(2172.00, 199.58)","(2341.58, 199.89)","(2511.51, 201.01)","(2682.87, 199.73)","(2854.58, 199.18)","(3024.43, 199.29)","(3197.29, 199.15)","(3368.01, 200.70)","(3539.11, 203.21)","(3710.91, 204.44)","(3880.35, 206.23)","(4054.62, 205.09)","(4224.05, 207.10)"
"(-33.30, 351.16)","(135.95, 354.23)","(306.14, 355.31)","(474.29, 356.27)","(644.59, 355.71)","(811.91, 356.71)","(983.90, 360.00)","(1151.79, 361.67)","(1322.52, 361.20)","(1491.20, 362.84)","(1663.26, 366.06)","(1829.95, 366.81)","(1999.81, 368.19)","(2171.23, 367.25)","(2341.00, 368.15)","(2511.05, 368.35)","(2682.20, 369.05)","(2853.73, 369.47)","(3023.35, 371.28)","(3196.57, 372.39)","(3366.70, 371.44)","(3537.68, 374.54)","(3709.81, 376.09)","(3878.14, 377.71)","(4051.04, 376.81)","(4221.94, 378.20)"
"(-32.42, 522.63)","(138.12, 524.98)","(306.81, 525.98)","(473.57, 526.72)","(644.61, 526.23)","(812.53, 527.10)","(982.87, 530.58)","(1151.39, 532.57)","(1321.69, 531.53)","(1490.23, 531.87)","(1660.62, 534.75)","(1829.01, 536.95)","(2000.11, 536.51)","(2170.29, 537.22)","(2339.69, 537.91)","(2510.07, 538.53)","(2681.28, 539.41)","(2852.97, 540.37)","(3024.35, 541.68)","(3194.87, 542.43)","(3365.29, 543.57)","(3535.59, 544.46)","(3708.40, 547.28)","(3878.05, 548.92)","(4051.16, 548.80)","(4222.34, 549.15)"
"(-33.26, 690.33)","(136.67, 694.61)","(306.96, 695.82)","(474.57, 697.48)","(644.05, 695.14)","(811.39, 697.19)","(982.19, 700.03)","(1150.14, 701.59)","(1320.80, 700.22)","(1488.18, 701.52)","(1658.90, 704.70)","(1829.03, 705.57)","(1998.85, 707.02)","(2168.74, 708.06)","(2339.72, 709.12)","(2509.29, 710.49)","(2680.53, 712.01)","(2851.27, 712.38)","(3022.11, 713.98)","(3194.01, 714.46)","(3365.05, 715.74)","(3534.61, 715.00)","(3706.65, 718.59)","(3877.69, 719.75)","(4049.05, 719.35)","(4220.43, 720.38)"
"(-32.57, 860.41)","(137.58, 863.80)","(307.73, 865.95)","(474.77, 866.79)","(643.21, 865.62)","(811.48, 866.75)","(981.34, 871.19)","(1148.72, 871.25)","(1319.53, 870.29)","(1488.22, 871.16)","(1658.95, 874.09)","(1827.90, 873.67)","(1997.44, 874.94)","(2168.75, 876.52)","(2338.44, 877.80)","(2508.81, 879.13)","(2679.70, 881.63)","(2850.79, 881.34)","(3021.19, 882.90)","(3192.94, 883.94)","(3363.28, 886.53)","(3534.76, 888.18)","(3705.58, 890.36)","(3877.06, 890.73)","(4047.88, 889.92)","(4218.99, 891.36)"
"(-32.13, 1029.40)","(137.05, 1031.63)","(308.23, 1034.93)","(474.55, 1036.90)","(644.82, 1035.41)","(810.98, 1036.77)","(981.80, 1040.42)","(1148.94, 1041.54)","(1319.24, 1040.70)","(1487.63, 1042.53)","(1657.64, 1044.41)","(1827.36, 1045.75)","(1996.49, 1046.62)","(2167.28, 1048.22)","(2337.68, 1049.34)","(2507.41, 1050.33)","(2678.24, 1051.62)","(2849.11, 1053.12)","(3020.35, 1052.94)","(3189.49, 1054.89)","(3360.26, 1056.98)","(3533.07, 1058.10)","(3703.93, 1059.77)","(3874.76, 1061.73)","(4046.81, 1063.21)","(4217.71, 1061.97)"
"(-31.80, 1201.58)","(140.54, 1203.28)","(307.64, 1205.05)","(474.73, 1206.35)","(644.51, 1205.63)","(811.19, 1206.49)","(981.19, 1210.10)","(1147.43, 1211.00)","(1317.29, 1210.66)","(1485.87, 1211.33)","(1656.40, 1212.96)","(1826.70, 1214.87)","(1995.27, 1216.34)","(2166.50, 1217.97)","(2336.24, 1218.26)","(2506.44, 1219.86)","(2677.00, 1220.97)","(2848.49, 1222.87)","(3018.82, 1225.14)","(3188.63, 1225.07)","(3359.30, 1227.37)","(3530.38, 1227.38)","(3701.33, 1229.49)","(3873.51, 1230.67)","(4044.79, 1233.84)","(4217.95, 1235.26)"
"(-32.01, 1369.78)","(138.54, 1370.76)","(308.34, 1373.50)","(474.91, 1376.20)","(643.64, 1374.44)","(810.22, 1376.03)","(980.21, 1379.03)","(1147.17, 1380.97)","(1317.45, 1380.16)","(1485.16, 1381.74)","(1656.01, 1382.65)","(1824.00, 1387.40)","(1994.18, 1389.35)","(2164.48, 1389.92)","(2334.81, 1391.42)","(2505.01, 1393.47)","(2675.59, 1393.96)","(2846.42, 1396.15)","(3016.56, 1396.53)","(3186.73, 1398.27)","(3357.45, 1399.57)","(3528.29, 1401.72)","(3700.04, 1402.13)","(3870.36, 1404.12)","(4041.42, 1404.64)","(4216.72, 1407.70)"
"(-30.36, 1538.81)","(139.48, 1539.42)","(307.93, 1542.82)","(474.75, 1544.45)","(643.72, 1543.71)","(810.61, 1544.95)","(979.25, 1549.15)","(1145.54, 1550.35)","(1316.34, 1550.04)","(1484.42, 1551.30)","(1653.81, 1555.02)","(1823.17, 1557.08)","(1993.09, 1556.71)","(2163.25, 1558.22)","(2333.43, 1559.82)","(2503.28, 1561.12)","(2674.73, 1562.60)","(2845.11, 1564.17)","(3014.89, 1565.51)","(3185.34, 1566.91)","(3357.15, 1568.47)","(3526.98, 1570.36)","(3697.58, 1571.31)","(3869.06, 1573.16)","(4040.95, 1574.95)","(4213.70, 1576.07)"
"(-29.96, 1710.00)","(138.96, 1707.91)","(307.11, 1709.89)","(474.83, 1711.20)","(643.06, 1712.68)","(809.81, 1716.71)","(978.40, 1718.11)","(1147.35, 1717.86)","(1315.52, 1719.52)","(1483.95, 1723.21)","(1652.92, 1724.31)","(1822.08, 1724.10)","(1991.31, 1725.92)","(2163.39, 1729.59)","(2333.39, 1730.80)","(2503.87, 1733.06)","(2673.47, 1734.73)","(2845.58, 1736.51)","(3016.04, 1737.20)","(3186.41, 1738.89)","(3356.74, 1741.64)","(3529.14, 1742.36)","(3698.54, 1744.56)","(3868.11, 1744.99)","(4040.88, 1746.94)","(4213.72, 1748.02)"
